Convulsions	8999-8910	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
Convulsive disorder	8999-8910	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
COPD (Chronic obstructive pulmonary disease)	6604	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Cor pulmonale (secondary heart disease)	6699	RESP Respiratory conditions	Resp	Cardiovascular System (Heart)
Corneal opacity	6099-6001	OPTO Eyes	Eyes	Organs of Sense (Eye Examination)
Coronary artery bypass graft (CABG)	7017	CARDIO Heart	Heart	Cardiovascular System (Heart)
Coronary artery disease (CAD)	7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Coronary heart disease	7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Coronary insufficiency	7099-7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Coronary thrombosis	7006-7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Coronoid process, loss of	9909	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Costochondritis	5399-5297	MUSC Muscle injuries	Muscle	Musculoskeletal (Bone Disease/Fractures)
Craniotomy, PO, for hematoma	8099-8008	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Crohn's disease	7399-7323	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Cryptococcosis	6837	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Cushing's syndrome	7907	ENDO Endocrine: miscellaneous	Endo	Endocrine (Cushing's Syndrone)
CVA (cerebrovascular accident)	8008	NEURO Central nervous system/DBQ(s) for residuals	CNS/variable for residuals	Neurologic (Brain and Spinal Cord)
Cyclitis	6004	OPTO Eyes	Eyes	Organs of Sense (Eye Examination)
Cyclothymic disorder	9431	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Cyst, Bartholin	7624	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Cyst, epidermoid	7819	DERM Skin	Skin	Skin (Skin Disease)
Cyst, eye	6015	OPTO Eyes	Eyes	Organs of Sense (Eye Examination)
Cyst, pancreatic	7344	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Cyst, pilonidal	7804/7805/7819	DERM Skin	Skin	Skin (Skin Disease)
Cyst, pulmonary	6820	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Cyst, sebaceous	7819	DERM Skin	Skin	Skin (Skin Disease)
Cyst, spine (skin)	7819	DERM Skin	Skin	Skin (Skin Disease)
Cyst, thyroglossal	7344	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Digestive Conditions, Misc.)
Cystitis, chronic	7512	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Cystitis, interstitial	7512	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Cystotomy, suprapubic	7599-7512	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Dacryocystitis	6031	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Deafness (hearing loss)	6100	AUDIO Hearing loss & tinnitus	Audio	Organs of Sense (Audio)
Decompression, laminectomy and fusion of	5299-5241	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Defect, pars pyloric (stomach)	7399-7305	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Deflection, nasal septum	6502	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Degenerative disc disease (DDD)	5243	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Degenerative joint disease (DJD)	5003	MUSC - use DBQ for specific joint(s)/bones	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Delirium	9300	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Delusional disorder	9208	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia due infection	9301	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia due to head trauma	9304	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia due to HIV infection	9301	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia due to other general medical conditions	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia due to other intracranial infection	9301	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia due to other neurologic conditions	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia due to other systemic infection	9301	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia due to syphilis	9301	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia, Alzheimer's type (Alzheimer's disease)	9312	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dementia, unknown etiology	9310	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Demyelinating disease	8099-8018	NEURO Central nervous system	CNS	Neurologic (Peripheral Nerves)
Dengue fever	6399-6320	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Depersonalization disorder	9417	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Depressive disorder, major	9434	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dequervain's tenosynovitis	5024	MUSC Wrist/Hand & finger	Wrist/Hand	Musculoskeletal (Joints)
Dermatitis: Acneform	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Dermatitis: Atrophic	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Dermatitis: Contact	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Dermatitis: Eczematoid	7806	DERM Skin	Skin	Skin (Skin Disease)
Dermatitis: Neuro-	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Dermatitis: Seborrheic	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Dermatitis: Ulcerative	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Dermatofibrosarcoma protuberans	7818	DERM Skin	Skin	Specialist Exams (Skin [Dermatology])--BACK of worksheet*
Dermatophytosis	7813	DERM Skin	Skin	Skin (Skin Disease)
Desquamative interstitial pneumonitis	6826	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Deviated nasal septum	6502	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Diabetes insipidus	7909	ENDO Endocrine: miscellaneous	Endo	Endocrine (Endocrine Diseases, Misc.)
Diabetes mellitus	7913	ENDO Diabetes mellitus	DM	Endocrine (Diabetes Mellitus)
Diaphragm, paralysis or paresis	6840	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Diaphragm, rupture	5324	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Diarrhea (chronic)	7399-7319	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Diastasis recti	7399-7339	GEN SURG Hernia: inguinal, femoral & abdom (not hiatal)	Hernia	Digestive (Rectum and Anus)
Diastolic hypertension	7101	CARDIO Hypertension	HTN	Cardiovascular System (Hypertension)
Diffuse interstitial fibrosis	6825	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Dilated rings	7399-7338	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Intestines [Large and Small])
Dilation, aneurysmal artery	7112	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Diphtheria	6599-6520	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Diplopia (double vision)	6090	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Diplopia, due to limited muscle function	6092	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Disarticulation, arm	5120	MUSC Amputations	Amp	Musculoskeletal (Joints)
Disc, herniated intravertebral	5235 to 5243	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Disc, prolapsed intravertebral	5235 to 5243	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Disc, protruded	5235 to 5243	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Discogenic pain synrome	5243	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Discoid Lupus Erythematosus	7809	AUTO-IMM Systemic lupus erythematosus	SLE	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Disease, Addison's	7911	ENDO Endocrine: miscellaneous	Endo	Endocrine (Endocrine Diseases, Misc.)
Disease, Buerger's (thrombo-angiitis obliterans)	7115	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Disease, Caisson	5011	MUSC Arthritis: non-degen (inflam, imm, cryst, infect)	Arth	Musculoskeletal (Bone Disease/Fractures)
Disease, Grave's	7999-7900	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Disease, Hansen's (leprosy)	6302	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Disease, Jakob-Creutzfeldt	8099-8000	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Disease, Lyme	6319	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Disease, Marie-Strumpell (ankylosing spondylitis)	5240	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Disease, Meniere's	6205	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Disease, Morton's	5279	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Disease, Osgood-Schlatter's	5299-5262	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Disease, Paget's (osteitis deformans)	5016	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Bone Disease/Fractures)
Disease, Parasitic, otherwise not specified	6320	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Disease, Parkinson's	8004	NEURO Parkinsons disease	Park Ds	Neurologic (Brain and Spinal Cord)
Disease, Pelligrini-Sieda	5299-5255	MUSC Hip & thigh/Knee & lower leg	Hip/Knee	Musculoskeletal (Joints)
Disease, Raynaud's	7117	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Disease, Scheuermann's	5299-5237	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Dislocation, crystalline lens	6033	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Dislocation, elbow	5299-5206	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Dislocation, semilunar cartilage	5258	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Dislocation, shoulder, recurrent	5202	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Dislocation, tempromandibular joint	9999-9905	DENTAL Dental & oral (other than TMJ)/MUSC Temporomandibular joint	Dental/TMJ	Special Examinations (Dental and Oral Examination)
Disseminated intravasacular coagulation with renal cortical necrosis	7540	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Dissociative amnesia	9416	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dissociative disorder, not otherwise specified	9416	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dissociative fugue	9416	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dissociative identity disorder	9416	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Distomiasis, hepatic or intestinal	7324	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Diverticula	7399-7327	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Diverticula of urinary bladder	7599-7512	GU Urinary tract (bladder & urethra)	Ur tract	Special Examinations (Genitourinary)
Diverticulitis	7327	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Diverticulitis, esophageal	7205	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Diverticulitis, intestinal	7327	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Diverticulum, esophageal	7205	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Diverticulum,Meckel's	7327	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Dizziness	6204-6205	ENT Ear conditions	Ear	Organs of Sense (Ear Examination)
Donor scar	7805	DERM Scars	Scar	Skin (Scars)
Dracontiastis (tapeworm)	6320	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Drop foot	8520 or 8521	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Drug-induced pulmonary pneumonitis and fibrosis	6829	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Drugs or alcohol, dementia resulting from abuse of	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Drusen optic nerve	6015-6080	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Duodenal ulcer	7305	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Duodenitis	7399-7305	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Dupuytren's contracture (ankylosis of fingers)	5216 to 5230	MUSC Hand & finger	Hand	Musculoskeletal (Hand, Thumb &  Fingers)
Dysarthric dysphagia	8210	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Dysentery, ankylostomiasis	7399-7324	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Dysentery, bacillary	7322	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Dysentery, endomiba	7399-7322	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Dysentery, histolytica	7399-7321	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Dyslipidemia (dyslipidosis) - not a disability	7099	not a ratable condition unless there is an underlying disability	 	 
Dyspepsia, functional	7399	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Dysphagia	8210 or 7346 (if part of GERD/hiatal hernia	NEURO Cranial nerves/GI Esophagus (including GERD & hiatal hernia)	C Nerves/Esoph	Neurologic (Cranial Nerves)
Dysphasia	8212	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Dysthymic disorder	9433	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Dystrophy, muscular	5099-5021	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Muscles)
Eardrum, perforated	6211	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Eardrum, retracted	6299-6211	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Eardrum, scarred	6211	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Eating disorders	9520 to 9521	PSYCH Eating disorders	Eating	Mental Disorders (Eating Disorders)
Ectropion	6020	OPTO Eye	Eyes	Organs of Sense (Eye)
Eczema	7806	DERM Skin	Skin	Skin (Skin Disease)
Edema, angioneurotic	7118	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Elbow replacement (prosthesis)	5052	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Elbow, ankylosis of	5205	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Elbow, other impairment of (flail joint)	5209	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Elephantiasis	6305	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Ellison-Zollinger syndrome	7999-7304	GI Stomach & duodenum	Stomach	Specialist Exams Endocrine (Endocrinology)-BACK of worksheet
Embolism, brain vessels	8007	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Embolism, cerebral	8007	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Emphysema, pulmonary	6603	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Empyema (pyothorax)	6899-6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Encephalitis letharica, residuals	8000	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Encephalitis, epidemic, chronic	8000	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Encephalopathy, post traumatic	8045-9304	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Endobronchial tuberculosis	6600-6732	INFECT Tuberculosis	TB	Respiratory (Pulmonary TB & Mycobactrial Disease)
Endocarditis, (bacterial, subacute)	7001	CARDIO Heart	Heart	Cardiovascular System (Heart)
Endocrinopathies	7912-7999	ENDO Endocrine: miscellaneous	Endo	Endocrine (Endocrine Diseases, Misc.)
Endolymphatic hydrops (Meniere's syndrome)	6205	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Endometriosis	7629	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Enteritis, chronic	7325	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Enterocolitis, chronic	7326	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Entropion	6021	OPTO Eye	Eyes	Organs of Sense (Eye)
Enucleation, eye, see Blindness.	6063 to 6066	OPTO Eye	Eyes	Organs of Sense (Eye)
Eosinophilia	7799	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Eosinophilic granuloma of lung	6828	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Epididymitis	7599-7523	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Epididymo-orchitis, chronic only	7525	GU Male reproductive Organ Conditions	Male	Special Examinations (Genitourinary)
Epididymo-orchitis, tuberculous	7525	INFECT Tuberculosis	TB	Special Examinations (Genitourinary)
Epilepsy: Diencephalic	8913	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
Epilepsy: Grand mal	8910	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
Epilepsy: Jacksonian (focal, motor or sensory)	8912	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
Epilepsy: Petit mal	8911	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
Epilepsy: Post traumatic	8912	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
Epilepsy: Psychomotor	8914	NEURO Seizure disorders (Epilepsy)	Epilepsy	Neurologic (Epilepsy & Narcolepsy)
Epileptic psychosis	9210	NEURO Seizure disorders (Epilepsy)/PSYCH Mental disorders	Epilepsy/Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Epiphora (lacrymal duct)	6025	OPTO Eye	Eyes	Organs of Sense (Eye)
Epitaxis (nosebleed)	6599	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Epitheliod leiomyosarcoma	7343 or 7627	GI Intestines (other than surgical or infectious)/GYN Gynecological conditions	GI other/GYN	Digestive (Digestive Conditions, Misc.)*
Epithelioma, basal cell	7899-7818	DERM Skin	Skin	Skin (Skin Disease)
Erectile dysfunction	7522	GU Male reproductive system	Male	Specialist Exams (GU-Urology)--BACK of worksheet
Erythema annulare centrificum	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Erythema exudation	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Erythema multiforme	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Erythema toxicus with dermatitis	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Erythroderma	7817	DERM Skin	Skin	Skin (Skin Disease)
Erythromelalgia	7119	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Esophageal cancer	7343	GI Esophagus (including GERD & hiatal hernia)	Esoph	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Esophageal spasm (achalasia, cardiospasm)	7204	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Esophagitis	7299-7203	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Esophagus: Cancer of	7343	GI Esophagus (including GERD & hiatal hernia)	Esoph	Specialist Exams (Digestive [Gastroenterology])--BACK of worksheet*
Esophagus: Diverticulum of, acquired	7205	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Esophagus: Spasm of (cardiospasm)	7204	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Esophagus: Stricture of	7203	GI Esophagus (including GERD & hiatal hernia)	Esoph	Digestive (Esophagus & Hiatal Hernia)
Essential Thrombocythemia and Primary Myelofibrosis	7718	HEM Hemic & lymphatic, including leukemia	HEM	Hemic and Lymphatic (Hemic Disorders)
Evanescent basilar artery insufficiency	8046-9305	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Exogenous obesity	7999-7903	ENDO Endocrine: miscellaneous	Endo	Endocrine (Thyroid and Parathyroid Diseases)
Exostosectomy, astralagus, with LOM (ankle)	5015-5271	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Exostosis, external auditory meatus	6209	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
External otitis	6210	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Extrapyramidal syndrome	8099-8004	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Eye, accommodation, paralysis of	6030	OPTO Eye	Eyes	Organs of Sense (Eye)
Eye, anatomical loss (enucleation), see Blindness	6063 to 6066	OPTO Eye	Eyes	Organs of Sense (Eye)
Eye, enucleated	6063 to 6066	OPTO Eye	Eyes	Organs of Sense (Eye)
Eye, injury of, unhealed	6009	OPTO Eye	Eyes	Organs of Sense (Eye)
Eye, loss, anatomical, one	6063 to 6066	OPTO Eye	Eyes	Organs of Sense (Eye)
Eye, melanoma, maliganant, eyeball only	6014	OPTO Eye	Eyes	Organs of Sense (Eye)
Eye, paralysis of accomodation	6030	OPTO Eye	Eyes	Organs of Sense (Eye)
Eye, tuberculosis of, active or inactive	6010	INFECT Tuberculosis/OPTO Eye	TB/Eyes	Organs of Sense (Eye)
Eyebrows, loss of, complete	6023	OPTO Eye	Eyes	Organs of Sense (Eye)
Eyelashes, loss of, complete	6024	OPTO Eye	Eyes	Organs of Sense (Eye)
Eyelid, inability to close (lagophalmalos)	6022	OPTO Eye	Eyes	Organs of Sense (Eye)
Eyelid, loss of portion of	6032	OPTO Eye	Eyes	Organs of Sense (Eye)
Eyes, loss, anatomical, both	6061	OPTO Eye	Eyes	Organs of Sense (Eye)
Facial muscles, injury	5325	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Fallopian tube, disease, injury or adhesions of	7614	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Fanconi's syndrome (renal tubular disorder)	7532	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal )--BACK of worksheet
Fatigue syndrome, chronic	6354	RHEUM Chronic fatigue syndrome	Fatigue	Infectious/Immune/Nutrition (Chronic Fatigue Syndrome)
Fatty infiltration of liver	7399-7345	GI Liver conditions: Hepatitis, cirrhosis & other liver	Liver	Digestive (Liver, Gall Bladder & Pancreas)
Feet, infection and ulcers of	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Feet, weak	5277	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Female Sexual Arousal Disorder (FSAD)	7632	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Femoral artery bypass	7199-7114	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Femur, impairment of	5255	MUSC Hip & thigh	Hip	Musculoskeletal (Bone Disease/Fractures)
Fever, hay	6599-6522	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Fever, hemoglobinuric (malaria)	6399-6304	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Fever, Malta (brucellosis)	6316	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Fever, Oroya	6306	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Fever, relapsing	6308	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Fever, rheumatic	6309	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Fever, undulant (brucellosis)	6316	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Fibrillation, auricular, paroxysmal	7011	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Fibrillation, auricular, permanent	7012	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Fibroadenoma, breast	7699-7631	GYN Breast conditions and disorders	Breast	Special Examinations (Gynecological/Breasts)
Fibroid nodule, thyroid lobe	7915	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Fibromyalgia	5025	NEURO Fibromyalgia	Fibro	Musculoskeletal (Fybromyalgia)
Fibrosis, bronchial	6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Fibrosis, diffuse interstitial	6825	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Fibrosis, drug-induced	6829	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Fibrosis, pulmonary	6899-6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Fibrositis, periarticular, generalized	5099-5025	NEURO Fibromyalgia	Fibro	Musculoskeletal (Joints)
Fibula and tibia, nonunion of	5262	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Field of vision, impairment of	6080	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Filariasis	6305	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Fissure in ano	7335	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Fissure in ano with hemorrhoids	7335-7336	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Fistula in ano	7335	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
